6,,,,,,,,,,,,,,
6,13,,,,,,,,,,,1,129,130
6,13,7,,,,,,,,,,2,138,142
6,13,7,18,,,,,,,,,3,134,126
6,13,7,18,12,,,,,,,,4,124,151
6,13,7,18,12,18,,,,,,,5,111,143
6,13,7,18,12,18,19,,,,,,6,145,142
6,13,7,18,12,18,19,13,,,,,7,120,143
6,13,7,18,12,18,19,13,23,129,,,8,140,141
8,,,,,,,,,,,,9,137,158
8,7,,,,,,,,,,,10,136,135
8,7,15,,,,,,,,,,11,139,141.1
8,7,15,9,,,,,,,,,,132.0909091,
8,7,15,9,22,,,,,,,,,,
8,7,15,9,22,17,,,,,,,,,
8,7,15,9,22,17,26,,,,,,,,
8,7,15,9,22,17,26,15,,,,,,,
8,7,15,9,22,17,26,15,19,138,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
9,12,,,,,,,,,,,,,
9,12,9,,,,,,,,,,,,
9,12,9,18,,,,,,,,,,,
9,12,9,18,15,,,,,,,,,,
9,12,9,18,15,22,,,,,,,,,
9,12,9,18,15,22,13,,,,,,,,
9,12,9,18,15,22,13,24,,,,,,,
9,12,9,18,15,22,13,24,12,134,,,,,
9,,,,,,,,,,,,,,
9,10,,,,,,,,,,,,,
9,10,9,,,,,,,,,,,,
9,10,9,16,,,,,,,,,,,
9,10,9,16,9,,,,,,,,,,
9,10,9,16,9,21,,,,,,,,,
9,10,9,16,9,21,17,,,,,,,,
9,10,9,16,9,21,17,22,,,,,,,
9,10,9,16,9,21,17,22,11,124,,,,,
8,,,,,,,,,,,,,,
8,7,,,,,,,,,,,,,
8,7,15,,,,,,,,,,,,
8,7,15,9,,,,,,,,,,,
8,7,15,9,18,,,,,,,,,,
8,7,15,9,18,13,,,,,,,,,
8,7,15,9,18,13,8,,,,,,,,
8,7,15,9,18,13,8,19,,,,,,,
8,7,15,9,18,13,8,19,14,111,,,,,
9,,,,,,,,,,,,,,
9,15,,,,,,,,,,,,,
9,15,12,,,,,,,,,,,,
9,15,12,23,,,,,,,,,,,
9,15,12,23,20,,,,,,,,,,
9,15,12,23,20,20,,,,,,,,,
9,15,12,23,20,20,7,,,,,,,,
9,15,12,23,20,20,7,22,,,,,,,
9,15,12,23,20,20,7,22,17,145,,,,,
7,,,,,,,,,,,,,,
7,16,,,,,,,,,,,,,
7,16,12,,,,,,,,,,,,
7,16,12,10,,,,,,,,,,,
7,16,12,10,17,,,,,,,,,,
7,16,12,10,17,10,,,,,,,,,
7,16,12,10,17,10,21,,,,,,,,
7,16,12,10,17,10,21,15,,,,,,,
7,16,12,10,17,10,21,15,12,120,,,,,
8,,,,,,,,,,,,,,
8,13,,,,,,,,,,,,,
8,13,18,,,,,,,,,,,,
8,13,18,14,,,,,,,,,,,
8,13,18,14,19,,,,,,,,,,
8,13,18,14,19,9,,,,,,,,,
8,13,18,14,19,9,22,,,,,,,,
8,13,18,14,19,9,22,14,,,,,,,
8,13,18,14,19,9,22,14,23,140,,,,,
7,,,,,,,,,,,,,,
7,10,,,,,,,,,,,,,
7,10,11,,,,,,,,,,,,
7,10,11,19,,,,,,,,,,,
7,10,11,19,15,,,,,,,,,,
7,10,11,19,15,23,,,,,,,,,
7,10,11,19,15,23,10,,,,,,,,
7,10,11,19,15,23,10,24,,,,,,,
7,10,11,19,15,23,10,24,18,137,,,,,
8,,,,,,,,,,,,,,
8,15,,,,,,,,,,,,,
8,15,11,,,,,,,,,,,,
8,15,11,19,,,,,,,,,,,
8,15,11,19,12,,,,,,,,,,
8,15,11,19,12,19,,,,,,,,,
8,15,11,19,12,19,15,,,,,,,,
8,15,11,19,12,19,15,23,,,,,,,
8,15,11,19,12,19,15,23,14,136,,,,,
7,,,,,,,,,,,,,,
7,12,,,,,,,,,,,,,
7,12,11,,,,,,,,,,,,
7,12,11,18,,,,,,,,,,,
7,12,11,18,16,,,,,,,,,,
7,12,11,18,16,23,,,,,,,,,
7,12,11,18,16,23,10,,,,,,,,
7,12,11,18,16,23,10,24,,,,,,,
7,12,11,18,16,23,10,24,18,139,,,,,
